iter	MultiClass
0	2.084524647
1	1.923373637
2	1.80711394
3	1.705984811
4	1.617816173
5	1.548464969
6	1.489382602
7	1.428006561
8	1.368674949
9	1.321060359
10	1.282297256
11	1.237753623
12	1.205325067
13	1.168477241
14	1.14024692
15	1.113676245
16	1.083165713
17	1.062185738
18	1.037172803
19	1.011527197
20	0.9913830158
21	0.9680400803
22	0.9451326566
23	0.9293571113
24	0.9162408885
25	0.8963820338
26	0.8853116839
27	0.8709877847
28	0.8468393504
29	0.8363668147
30	0.8185713371
31	0.7951914934
32	0.7836501223
33	0.7713883402
34	0.755361803
35	0.7455038578
36	0.7262017351
37	0.7131761033
38	0.7020707089
39	0.6849067401
40	0.6729005913
41	0.6635231042
42	0.6559741232
43	0.6411449292
44	0.6319367239
45	0.6248860261
46	0.6195566233
47	0.6109666332
48	0.5971793575
49	0.5842393986
50	0.5768681174
51	0.5696482738
52	0.5572294433
53	0.5515541425
54	0.5431877522
55	0.5371270498
56	0.5322189791
57	0.5268631559
58	0.5169372432
59	0.509433659
60	0.5043138146
61	0.5010654373
62	0.4930410058
63	0.4856927829
64	0.4788883932
65	0.4724053427
66	0.4683191113
67	0.4613459454
68	0.4566903102
69	0.4508291002
70	0.447594848
71	0.4429785853
72	0.440628865
73	0.4325558322
74	0.4234022821
75	0.4211085887
76	0.4137680301
77	0.4072132042
78	0.4025362128
79	0.3970399346
80	0.3931074818
81	0.3902584429
82	0.3871264716
83	0.381174811
84	0.379130887
85	0.3753181349
86	0.3688324213
87	0.3641971511
88	0.3606362457
89	0.3572215024
90	0.3544156509
91	0.3507839491
92	0.3466698373
93	0.344551065
94	0.3398569517
95	0.3353039532
96	0.3301166574
97	0.326365686
98	0.3230312819
99	0.3211291144
100	0.3190097622
101	0.3163475434
102	0.311884528
103	0.3109935296
104	0.3074010504
105	0.3042556772
106	0.3023281622
107	0.3000559463
108	0.2958014778
109	0.2932928728
110	0.2916999643
111	0.2889418659
112	0.2840561439
113	0.2810613732
114	0.2798023587
115	0.2785003228
116	0.2774503187
117	0.2752110347
118	0.2730029852
119	0.2708385406
120	0.2667522101
121	0.2659234051
122	0.262103115
123	0.2614983869
124	0.2603635937
125	0.2574240095
126	0.256448471
127	0.2552666449
128	0.2531266217
129	0.2493979038
130	0.2457195842
131	0.2445690415
132	0.2423960631
133	0.2403304497
