iter	Passed	Remaining
0	689	688568
1	1377	687268
2	2015	669862
3	2668	664389
4	3353	667295
5	3979	659316
6	4614	654563
7	5267	653196
8	5929	652884
9	6578	651310
10	7222	649349
11	7879	648729
12	8516	646600
13	9178	646450
14	9821	644962
15	10445	642392
16	11097	641723
17	11786	643014
18	12455	643104
19	13138	643782
20	13840	645216
21	14538	646318
22	15194	645443
23	15862	645084
24	16557	645747
25	17195	644153
26	17890	644704
27	18579	644973
28	19257	644806
29	19930	644417
30	20586	643494
31	21231	642247
32	21847	640198
33	22480	638724
34	23120	637474
35	23791	637090
36	24505	637810
37	25200	637972
38	25827	636426
39	26508	636201
40	27164	635376
41	27877	635883
42	28534	635069
43	29215	634764
44	29867	633863
45	30499	632536
46	31149	631602
47	31806	630832
48	32439	629582
49	33115	629201
50	33773	628456
51	34457	628190
52	35111	627368
53	35761	626491
54	36450	626293
55	37143	626137
56	37802	625402
57	38450	624492
58	39277	626443
59	39917	625380
60	40564	624429
61	41233	623817
62	41893	623081
63	42544	622209
64	43205	621487
65	43840	620416
66	44525	620040
67	45205	619579
68	45877	619011
69	46541	618340
70	47183	617375
71	47910	617517
72	48587	616993
73	49315	617113
74	49956	616136
75	50591	615086
76	51215	613925
77	51875	613196
78	52543	612560
79	53174	611511
80	53802	610427
81	54467	609766
82	55142	609220
83	55799	608484
84	56491	608118
85	57171	607609
86	57829	606875
87	58479	606059
88	59117	605126
89	59742	604066
90	60428	603616
91	61062	602659
92	61689	601636
93	62320	600667
94	62954	599721
95	63596	598865
96	64234	597980
97	64891	597267
98	65521	596309
99	66185	595665
100	66837	594921
101	67459	593910
102	68084	592932
103	68691	591802
104	69323	590898
105	69978	590196
106	70614	589330
107	71238	588381
108	71872	587507
109	72486	586479
110	73115	585585
111	73732	584593
112	74357	583670
113	74971	582669
114	75598	581783
115	76207	580753
116	76870	580145
117	77516	579405
118	78135	578468
119	78755	577537
120	79388	576713
121	80004	575766
122	80665	575151
123	81310	574416
124	81971	573798
125	82621	573107
126	83311	572687
127	83941	571848
128	84557	570928
129	85240	570453
130	85878	569682
131	86538	569056
132	87219	568568
133	87904	568101
134	88561	567451
135	89203	566701
136	89859	566048
137	90486	565215
138	91109	564353
139	91732	563500
140	92366	562713
141	93039	562167
142	93721	561675
143	94387	561078
144	95066	560562
145	95743	560036
146	96382	559281
147	97016	558501
148	97660	557777
149	98266	556843
150	98877	555940
151	99492	555062
152	100148	554415
153	100856	554054
154	101493	553303
155	102143	552620
156	102802	551988
157	103449	551296
158	104107	550659
159	104783	550110
160	105443	549482
161	106097	548825
162	106744	548131
163	107402	547489
164	108080	546952
165	108730	546273
166	109378	545580
167	110037	544945
168	110684	544254
169	111360	543699
170	112004	542994
171	112667	542374
172	113329	541753
173	114003	541186
174	114685	540660
175	115356	540077
176	116022	539471
177	116665	538757
178	117318	538092
179	117963	537387
180	118598	536641
181	119231	535887
182	119866	535141
183	120492	534356
184	121108	533534
185	121735	532755
186	122396	532132
187	123077	531589
188	123714	530861
189	124359	530164
190	125002	529460
191	125634	528712
192	126272	527988
193	126907	527253
194	127540	526514
195	128173	525774
196	128796	524993
197	129417	524205
198	130043	523442
199	130666	522667
200	131312	521982
201	131939	521224
202	132571	520489
203	133222	519828
204	133846	519061
205	134465	518280
206	135090	517520
207	135724	516796
208	136342	516014
209	136967	515256
210	137596	514520
211	138216	513747
212	138834	512972
213	139465	512242
214	140093	511505
215	140722	510772
216	141353	510046
217	141995	509361
218	142647	508711
219	143271	507963
220	143891	507202
221	144509	506433
222	145135	505695
223	145765	504973
224	146385	504216
225	147011	503481
226	147660	502824
227	148302	502147
228	148991	501625
229	149651	501005
230	150271	500256
231	150897	499523
232	151536	498836
233	152170	498129
234	152794	497393
235	153426	496685
236	154109	496142
237	154740	495428
238	155383	494756
239	156046	494146
240	156672	493420
241	157321	492768
242	157949	492048
243	158569	491304
244	159214	490641
245	159875	490025
246	160512	489335
247	161128	488584
248	161740	487820
249	162356	487068
250	162966	486303
251	163582	485553
252	164187	484775
253	164837	484128
254	165524	483590
255	166187	482981
256	166838	482338
257	167471	481643
258	168113	480973
259	168807	480452
260	169510	479955
261	170193	479400
262	170849	478768
263	171498	478116
264	172129	477414
265	172748	476682
266	173387	476003
267	174011	475284
268	174632	474558
269	175265	473865
270	175884	473134
271	176504	472409
272	177126	471687
273	177745	470960
274	178365	470237
275	178975	469487
276	179599	468774
277	180225	468067
278	180845	467347
279	181473	466645
280	182093	465926
281	182711	465200
282	183337	464497
283	183953	463769
284	184573	463052
285	185205	462365
286	185829	461661
287	186451	460949
288	187070	460233
289	187690	459519
290	188314	458815
291	188932	458096
292	189552	457384
293	190181	456695
294	190793	455963
295	191415	455259
296	192046	454575
297	192675	453885
298	193302	453193
299	193952	452556
300	194569	451840
301	195197	451151
302	195819	450449
303	196468	449810
304	197097	449123
305	197725	448436
306	198358	447760
307	198975	447047
308	199595	446345
309	200206	445621
310	200850	444971
311	201473	444274
312	202093	443573
313	202730	442908
314	203351	442209
315	203967	441498
316	204604	440835
317	205217	440119
318	205830	439406
319	206445	438696
320	207076	438021
321	207685	437300
322	208297	436586
323	208921	435898
324	209540	435200
325	210148	434479
326	210774	433795
327	211389	433091
328	212000	432377
329	212612	431668
330	213232	430973
331	213856	430288
332	214552	429750
333	215180	429072
334	215797	428374
335	216422	427692
336	217034	426985
337	217660	426306
338	218276	425606
339	218895	424914
340	219522	424239
