iter	MultiClass
0	1.635545704
1	1.398254272
2	1.261542865
3	1.123534711
4	1.053500675
5	1.01053123
6	0.9493482688
7	0.884642115
8	0.8532673618
9	0.7858531159
10	0.7551664927
11	0.7127844386
12	0.6966177435
13	0.6709920628
14	0.6278380555
15	0.5852147249
16	0.5517065361
17	0.5304509292
18	0.5109463967
19	0.4980675833
20	0.4862247831
21	0.4534314894
22	0.4318642634
23	0.4182243143
24	0.4080420396
25	0.398787033
26	0.3762765642
27	0.357804709
28	0.3443235855
29	0.3375622748
30	0.3342610144
31	0.322508084
32	0.3121575826
33	0.306802367
34	0.2931292224
35	0.2787584609
36	0.268572551
37	0.2633036393
38	0.2546095166
39	0.2526142896
40	0.2499878961
41	0.2470630836
42	0.2437145874
43	0.2372481565
44	0.2298347727
45	0.2269010855
46	0.2231682461
47	0.2131658907
48	0.2079933352
49	0.2055348537
50	0.2029570935
51	0.2009480658
52	0.196134396
53	0.1902299414
54	0.1882181053
55	0.1869289171
56	0.1839179488
57	0.1779197008
58	0.1741455733
59	0.171106128
60	0.1662261332
61	0.1649227811
62	0.1636817299
63	0.1591996165
64	0.1571126893
65	0.1543844462
66	0.1479519036
67	0.146621858
68	0.1458091652
69	0.1451658565
70	0.1423088161
71	0.1409716574
72	0.1393046285
73	0.1376561076
74	0.136652138
75	0.1353806561
76	0.1333609346
77	0.1309933669
78	0.1294577464
79	0.1272726894
80	0.1265697518
81	0.1237924295
82	0.1225374191
83	0.121206179
84	0.1178427397
85	0.1167135191
86	0.1139129125
87	0.1130130467
88	0.1111329194
89	0.109938108
90	0.1089747423
91	0.1078463458
92	0.1060503119
93	0.1046629433
94	0.1041250581
95	0.1016584723
96	0.1004824471
97	0.09952856684
98	0.0989427166
99	0.09628116212
