iter	Passed	Remaining
0	469	46432
1	866	42445
2	1262	40828
3	1670	40103
4	2069	39322
5	2473	38749
6	2866	38082
7	3269	37593
8	3671	37122
9	4076	36684
10	4504	36446
11	4910	36006
12	5307	35521
13	5716	35113
14	6135	34768
15	6570	34493
16	6983	34094
17	7391	33672
18	7810	33297
19	8220	32880
20	8617	32416
21	9016	31965
22	9450	31637
23	9960	31541
24	10418	31255
25	10831	30827
26	11252	30424
27	11663	29992
28	12081	29578
29	12500	29166
30	12906	28728
31	13324	28314
32	13738	27893
33	14147	27462
34	14571	27061
35	15001	26669
36	15415	26248
37	15807	25791
38	16200	25339
39	16585	24878
40	16976	24429
41	17382	24004
42	17786	23577
43	18203	23168
44	18601	22735
45	19010	22316
46	19408	21885
47	19848	21502
48	20333	21163
49	20748	20748
50	21153	20323
51	21563	19904
52	21968	19481
53	22375	19060
54	22795	18650
55	23229	18251
56	23644	17837
57	24103	17454
58	24515	17035
59	24911	16607
60	25319	16187
61	25747	15780
62	26153	15359
63	26548	14933
64	26952	14513
65	27364	14096
66	27785	13685
67	28187	13264
68	28603	12850
69	29018	12436
70	29413	12013
71	29827	11599
72	30218	11176
73	30615	10756
74	31023	10341
75	31426	9924
76	31846	9512
77	32259	9098
78	32666	8683
79	33086	8271
80	33320	7815
81	33728	7403
82	34135	6991
83	34553	6581
84	34962	6169
85	35381	5759
86	35806	5350
87	36208	4937
88	36606	4524
89	36999	4111
90	37409	3699
91	37818	3288
92	38225	2877
93	38616	2464
94	39009	2053
95	39417	1642
96	39836	1232
97	40236	821
98	40648	410
99	41063	0
